[2024-05-24 17:09:28,543: INFO: main: Welcome  to custom log]
[2024-05-25 11:52:04,524: INFO: main: Welcome  to custom log]
[2024-05-26 17:37:32,856: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-26 17:37:32,902: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-26 17:37:32,905: INFO: common: created directory at: artifacts]
[2024-05-26 17:37:32,908: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-26 17:38:35,193: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-26 17:38:35,196: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-26 17:38:35,198: INFO: common: created directory at: artifacts]
[2024-05-26 17:38:35,494: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-26 17:41:25,888: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-26 17:41:25,891: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-26 17:41:25,893: INFO: common: created directory at: artifacts]
[2024-05-26 17:41:25,895: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-26 17:49:49,758: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-26 17:49:49,761: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-26 17:49:49,763: INFO: common: created directory at: artifacts]
[2024-05-26 17:49:49,764: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-26 17:49:49,766: INFO: 2845006334: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-26 17:49:57,979: INFO: 2845006334: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-26 18:16:40,055: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-05-26 18:16:40,057: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-26 18:16:40,061: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-26 18:16:40,063: INFO: common: created directory at: artifacts]
[2024-05-26 18:16:40,064: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-26 18:16:40,064: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-26 18:16:52,159: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-26 18:16:52,989: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
